symbol,sector,industry,price,avg_volume,avg_spread,market_cap,avg_spread
CPAH,Technology,Software—Application,3.48,74600,0.010135135,22454623.44,0.010135135
NBRV,Healthcare,Biotechnology,1.789999962,3468270,0.010134519,63340335.42,0.010134519
VCRA,Technology,Communication Equipment,43.95000076,722431,0.143875222,1443100473,0.143875222
MKSI,Technology,Scientific & Technical Instruments,153,590971,0.57398596,8448984054,0.57398596
RHI,Industrials,Staffing & Employment Services,76.91999817,1287779,0.105434907,8701563563,0.105434907
CSV,Consumer Cyclical,Personal Services,34.06000137,114940,0.173779993,612900085.7,0.173779993
PTNR,Communication Services,Telecom Services,4.900000095,5321,0.08529563,900234706,0.08529563
GRCL,Healthcare,Biotechnology,21.02000046,30016,0.392674544,1378138477,0.392674544
SLDB,Healthcare,Drug Manufacturers—Specialty & Generic,9.399999619,866541,0.04958158,568223782.3,0.04958158
AL,Industrials,Rental & Leasing Services,47.99000168,668221,0.110488916,5464809180,0.110488916
INOD,Technology,Information Technology Services,5.380000114,105675,0.094554697,133115685.8,0.094554697
FLIC,Financial Services,Banks—Regional,19.88999939,124922,0.125854574,473194800.7,0.125854574
UBS,Financial Services,Banks—Diversified,15.63000011,3885757,0.010029256,60317036265,0.010029256
RPRX,Healthcare,Biotechnology,42.54000092,3439577,0.076204153,25826496966,0.076204153
TCON,Healthcare,Biotechnology,8.220000267,654909,0.07563002,127235633.3,0.07563002
ICHR,Technology,Semiconductor Equipment & Materials,42.88999939,427488,0.203841549,1203449206,0.203841549
BSVN,Financial Services,Banks—Regional,18.61000061,21554,0.593274021,168323082.2,0.593274021
NNN,Real Estate,REIT—Retail,42.59999847,766204,0.047295727,7466625315,0.047295727
TXN,Technology,Semiconductors,167.9400024,5680740,0.101547941,1.55E+11,0.101547941
IPV,Financial Services,Shell Companies,12.43999958,3822575,0.07929245,386330407,0.07929245
EQBK,Financial Services,Banks—Regional,28.76000023,27343,0.422981057,427186289.5,0.422981057
HGSH,Real Estate,Real Estate—Development,1.710000038,95469,0.054098684,38517750.86,0.054098684
NUO,Financial Services,Asset Management,15.22500038,37236,0.048125,278875626.4,0.048125
VOXX,Technology,Consumer Electronics,20.18000031,297592,0.224573849,482865634.7,0.224573849
RMAX,Real Estate,Real Estate Services,38.95000076,117627,0.273101988,1212740330,0.273101988
PEG,Utilities,Utilities—Diversified,56.25999832,2302709,0.042702395,28416536339,0.042702395
SYNC,Technology,Software—Infrastructure,2.170000076,661597,0.010087464,86402836.62,0.010087464
TTC,Industrials,Tools & Accessories,98.45999908,475605,0.323762887,10596278984,0.323762887
INVE,Technology,Computer Hardware,10.97000027,166966,0.123582677,197681324.6,0.123582677
TPB,Consumer Defensive,Tobacco,48.13000107,305257,0.319483156,919034477.1,0.319483156
ENR,Industrials,Electrical Equipment & Parts,44.66999817,695776,0.101930222,3053952693,0.101930222
PRCH,Technology,Software—Application,16.90500069,4993164,0.050222273,1377361793,0.050222273
SEED,Basic Materials,Agricultural Inputs,21.12999916,201979,0.425444793,120146717.7,0.425444793
RGCO,Utilities,Utilities—Regulated Gas,23.29999924,17575,0.368738263,191419722.4,0.368738263
DOW,Basic Materials,Chemicals,62.90999985,3883643,0.027066203,46882095703,0.027066203
ALTA,Financial Services,Banks—Regional,36.72000122,38582,0.578076482,691383350.8,0.578076482
MCADU,Financial Services,Shell Companies,10.02999973,33044,0.123439153,75801722.98,0.123439153
MARPS,Energy,Oil & Gas Equipment & Services,4.460000038,64831,0.109811283,8920000.076,0.109811283
RBAC,Financial Services,Shell Companies,10.23999977,1262903,0.01692413,735999983.5,0.01692413
BSL,Financial Services,Asset Management,14.81999969,56306,0.049760956,200379702.2,0.049760956
IACA,Financial Services,Shell Companies,11.28999996,598698,0.07697479,365160936.3,0.07697479
IIIIU,Financial Services,Shell Companies,10.25,73934,0.138233438,337930994.8,0.138233438
MBWM,Financial Services,Banks—Regional,31.85000038,49861,0.257637863,517847468.2,0.257637863
NTST,Real Estate,REIT—Retail,17.54000092,243954,0.067663659,497942244.1,0.067663659
ZLAB,Healthcare,Biotechnology,137.25,345571,0.657890909,12159299077,0.657890909
IHT,Real Estate,REIT—Hotel & Motel,2.380000114,41971,0.102200957,21639936.84,0.102200957
DLCAU,Financial Services,Shell Companies,10.27999973,328559,0.047599261,252540005.9,0.047599261
NTCT,Technology,Software—Infrastructure,27.47999954,509176,0.080564743,2018097174,0.080564743
SRT,Industrials,Specialty Business Services,8.300000191,50174,0.075896505,334429874.2,0.075896505
CAL,Consumer Cyclical,Footwear & Accessories,17.39999962,370520,0.08243631,659577609.5,0.08243631
NVCR,Healthcare,Medical Instruments & Supplies,129.2799988,1206323,0.500961327,13239789364,0.500961327
ANGO,Healthcare,Medical Instruments & Supplies,21.05999947,352749,0.130622748,799517544.5,0.130622748
CIGI,Real Estate,Real Estate Services,104.8499985,67271,0.62186475,4221236160,0.62186475
PLT,Technology,Communication Equipment,36.74000168,899990,0.248540361,1515983731,0.248540361
FFA,Financial Services,Asset Management,17.86000061,26167,0.088947258,356893493.1,0.088947258
KNDI,Consumer Cyclical,Auto Parts,6.099999905,5089359,0.011299605,441503078.6,0.011299605
SVC,Real Estate,REIT—Hotel & Motel,12.25500011,938387,0.025340495,2019916092,0.025340495
PLYA,Consumer Cyclical,Resorts & Casinos,6.849999905,2487091,0.011670765,1123602573,0.011670765
BLX,Financial Services,Banks—Regional,15.89000034,156528,0.06654831,629280195.1,0.06654831
NOVA,Technology,Solar,36.68999863,4603016,0.115286205,3964914791,0.115286205
PEAK,Real Estate,REIT—Healthcare Facilities,29.80999947,3377660,0.01106384,16058237183,0.01106384
EGO,Basic Materials,Gold,11.34000015,1839050,0.010323001,1983721887,0.010323001
PRTY,Consumer Cyclical,Specialty Retail,7.460000038,2621153,0.01381178,825420283.2,0.01381178
SMSI,Technology,Software—Application,6.650000095,265267,0.044245463,274614088.1,0.044245463
BNGO,Healthcare,Diagnostics & Research,7.150000095,59466260,0.011047571,1573355791,0.011047571
CLDT,Real Estate,REIT—Hotel & Motel,13.65999985,349953,0.068545374,642216737.8,0.068545374
BPMP,Energy,Oil & Gas Midstream,12.26000023,443739,0.036635479,1284584459,0.036635479
ES,Utilities,Utilities—Regulated Electric,80.66000366,2149467,0.066848352,27666652758,0.066848352
SHW,Basic Materials,Specialty Chemicals,675.6900024,695683,1.024348566,60543087083,
CRNT,Technology,Communication Equipment,3.74000001,3700700,0.011443768,303461977.6,0.011443768
BBU,Industrials,Conglomerates,40.09999847,18774,0.309817003,6011920172,0.309817003
ERH,Financial Services,Asset Management,12.62629986,10717,0.058003534,117164449.2,0.058003534
IAG,Basic Materials,Gold,3.069999933,5298035,0.010009591,1459220629,0.010009591
RNST,Financial Services,Banks—Regional,42.08000183,333458,0.14261679,2366518539,0.14261679
HFBL,Financial Services,Banks—Regional,30,56,1.154,50685810,
RMI,,,21.22999954,10918,0.067358491,135304479.4,0.067358491
CYCN,Healthcare,Biotechnology,3.589999914,440217,0.041895561,122256384.4,0.041895561
NXPI,Technology,Semiconductors,180.8999939,5076308,0.31249611,50110781508,0.31249611
TRCH,Energy,Oil & Gas E&P,2.140000105,24143289,0.0106777,305181950.3,0.0106777
HOLI,Industrials,Electrical Equipment & Parts,14.34000015,840283,0.069258499,872662128.9,0.069258499
BTA,Financial Services,Asset Management,12.48999977,23202,0.043228477,167706241.1,0.043228477
JHX,Basic Materials,Building Materials,28.96999931,37828,0.178728676,12867531851,0.178728676
BIDU,Communication Services,Internet Content & Information,261.7200012,15958337,0.386135559,89266316917,0.386135559
GPRO,Technology,Consumer Electronics,8.079999924,4748663,0.010355638,1224278922,0.010355638
TBPH,Healthcare,Biotechnology,19.45000076,407508,0.131237133,1251176343,0.131237133
IVR,Real Estate,REIT—Mortgage,3.75999999,16860391,0.010029843,867891123.9,0.010029843
PNI,Financial Services,Asset Management,10.80000019,7720,0.042133333,120835827.1,0.042133333
HR,Real Estate,REIT—Healthcare Facilities,29.13999939,907225,0.038837186,4072218082,0.038837186
SGH,Technology,Semiconductors,44.68000031,303152,0.256146516,1106838346,0.256146516
TY,Financial Services,Asset Management,31,47965,0.112781174,1614502171,0.112781174
WRLD,Financial Services,Credit Services,143.9299927,30407,2.278933831,979397686.5,
ORGO,Healthcare,Drug Manufacturers—Specialty & Generic,15.09000015,892717,0.113395121,1922071597,0.113395121
CPE,Energy,Oil & Gas E&P,38.22999954,5694028,0.089507914,1764456312,0.089507914
NKE,Consumer Cyclical,Footwear & Accessories,133.3500061,5956999,0.05040159,2.10E+11,0.05040159
AENZ,Industrials,Engineering & Construction,2.150000095,10577,0.100636943,374924694.3,0.100636943
XIN,Real Estate,Real Estate—Development,2.74000001,216835,0.02321137,147123547,0.02321137
RDIB,Communication Services,Entertainment,20,125,1.19,172085190.2,
INDB,Financial Services,Banks—Regional,90.91999817,167795,0.553790411,3002038414,0.553790411
BME,Financial Services,Asset Management,44.62649918,50038,0.255972789,545541094.6,0.255972789
CDW,Technology,Information Technology Services,154.4799957,891174,0.21100579,21780303753,0.21100579
ONCT,Healthcare,Biotechnology,5.409999847,1808768,0.03059786,224560616.2,0.03059786
SNDR,Industrials,Trucking,25,426531,0.044777343,4433858650,0.044777343
VTRS,Healthcare,Drug Manufacturers—Specialty & Generic,13.90999985,13294813,0.010355241,16790519116,0.010355241
CCJ,Energy,Uranium,15.80000019,9737272,0.010480186,6270426628,0.010480186
NTIP,Technology,Communication Equipment,3,49256,0.04566787,72099228,0.04566787
MRBK,Financial Services,Banks—Regional,26.12000084,28018,0.26407864,160272325.1,0.26407864
DTEA,Consumer Defensive,Packaged Foods,3.569999933,344817,0.037377327,93644336.24,0.037377327
SYTA,Technology,Communication Equipment,10.55000019,15616,0.28381068,34637465.23,0.28381068
AMT,Real Estate,REIT—Specialty,200,3455754,0.149793678,88876887400,0.149793678
YORW,Utilities,Utilities—Regulated Water,42.77000046,53908,0.43792024,558146709.6,0.43792024
AAN,Consumer Cyclical,Specialty Retail,23.95999908,306840,0.071192192,819549636.2,0.071192192
VCNX,Healthcare,Biotechnology,2.880000114,805184,0.024198574,64470611.2,0.024198574
GNFT,Healthcare,Biotechnology,4.840000153,169780,0.040367347,188075712.2,0.040367347
EXAS,Healthcare,Diagnostics & Research,121.6399994,3017998,0.347735362,20568492122,0.347735362
MQY,Financial Services,Asset Management,15.52999973,47727,0.04997216,477648411,0.04997216
E,Energy,Oil & Gas Integrated,24.21999931,609876,0.024270616,43663752371,0.024270616
MYI,Financial Services,Asset Management,13.93000031,250649,0.028627926,949339000.7,0.028627926
TGTX,Healthcare,Biotechnology,43.27999878,2138166,0.141598785,6084570002,0.141598785
BLE,Financial Services,Asset Management,15.17000008,37195,0.054030227,357565722.2,0.054030227
SJW,Utilities,Utilities—Regulated Water,62.56000137,191183,0.424575286,1789179379,0.424575286
VGR,Consumer Defensive,Tobacco,13.92000008,666294,0.03002288,2146389247,0.03002288
CHDN,Consumer Cyclical,Gambling,229.5599976,238513,1.34065294,8832550925,
SCPE,Financial Services,Shell Companies,10.14999962,183362,0.01940273,220254991.7,0.01940273
BMRN,Healthcare,Biotechnology,77.73000336,1453161,0.108109328,14133621637,0.108109328
