symbol,date,time,hour,minute,second,share_price
TSLA,2021-01-15,9:30:47,9,30,57,850.85
TSLA,2021-01-15,9:30:46,9,30,3,850.97
TSLA,2021-01-15,9:31:55,9,31,25,854.99
TSLA,2021-01-15,9:31:50,9,31,47,853.58
TSLA,2021-01-15,9:31:49,9,31,58,823.18
TSLA,2021-01-15,9:33:45,9,33,33,858.91
TSLA,2021-01-15,9:33:31,9,33,8,857.24
TSLA,2021-01-15,9:35:8,9,35,57,823.205
TSLA,2021-01-15,9:35:19,9,35,2,855.65
TSLA,2021-01-15,9:36:45,9,36,13,823.18
TSLA,2021-01-15,9:36:46,9,36,38,823.205
TSLA,2021-01-15,9:37:14,9,37,37,857.535
TSLA,2021-01-15,9:38:36,9,38,32,823.205
TSLA,2021-01-15,9:38:36,9,38,36,823.205
TSLA,2021-01-15,9:39:15,9,39,33,849
TSLA,2021-01-15,9:40:18,9,40,0,823.205
TSLA,2021-01-15,9:40:33,9,40,49,856.96
TSLA,2021-01-15,9:41:4,9,41,6,857.04
TSLA,2021-01-15,9:41:45,9,41,44,823.205
TSLA,2021-01-15,9:42:34,9,42,56,823.205
TSLA,2021-01-15,9:42:38,9,42,31,856.98
TSLA,2021-01-15,9:43:45,9,43,30,823.18
TSLA,2021-01-15,9:44:11,9,44,5,0
TSLA,2021-01-15,9:44:10,9,44,5,823.18
TSLA,2021-01-15,9:44:42,9,44,41,823.18
TSLA,2021-01-15,9:47:26,9,47,51,853.98
TSLA,2021-01-15,9:47:49,9,47,16,823.205
TSLA,2021-01-15,9:48:5,9,48,12,855.105
TSLA,2021-01-15,9:49:3,9,49,27,854.835
TSLA,2021-01-15,9:49:56,9,49,41,823.205
TSLA,2021-01-15,9:50:0,9,50,26,855.915
TSLA,2021-01-15,9:51:51,9,51,11,823.18
TSLA,2021-01-15,9:52:21,9,52,31,857.44
TSLA,2021-01-15,9:52:16,9,52,35,823.205
TSLA,2021-01-15,9:53:24,9,53,59,0
TSLA,2021-01-15,9:53:56,9,53,32,823.205
TSLA,2021-01-15,9:53:1,9,53,22,857.4
TSLA,2021-01-15,9:54:37,9,54,37,823.205
TSLA,2021-01-15,9:55:44,9,55,22,823.205
TSLA,2021-01-15,9:55:48,9,55,34,823.205
TSLA,2021-01-15,9:56:48,9,56,20,853.775
TSLA,2021-01-15,9:57:20,9,57,4,823.205
TSLA,2021-01-15,9:59:31,9,59,24,823.18
TSLA,2021-01-15,9:59:41,9,59,58,823.18
TSLA,2021-01-15,10:0:50,10,0,52,855.165
TSLA,2021-01-15,10:0:58,10,0,58,823.205
TSLA,2021-01-15,10:0:16,10,0,58,823.205
TSLA,2021-01-15,10:1:1,10,1,5,852.32
TSLA,2021-01-15,10:1:0,10,1,39,823.205
TSLA,2021-01-15,10:1:15,10,1,16,850.905
TSLA,2021-01-15,10:2:16,10,2,10,823.205
TSLA,2021-01-15,10:3:33,10,3,36,823.18
TSLA,2021-01-15,10:3:53,10,3,47,823.18
TSLA,2021-01-15,10:4:48,10,4,10,849.325
TSLA,2021-01-15,10:4:6,10,4,35,823.18
TSLA,2021-01-15,10:4:7,10,4,58,848.76
